subjID	choice	gain	loss
13	1	100	0
13	1	100	0
13	2	100	0
13	1	100	150
13	3	50	0
13	4	50	0
13	2	100	0
13	3	50	0
13	2	100	0
13	1	100	0
13	3	50	50
13	2	100	0
13	2	100	0
13	2	100	0
13	2	100	0
13	2	100	0
13	4	50	0
13	4	50	0
13	2	100	1250
13	4	50	0
13	4	50	0
13	4	50	0
13	4	50	0
13	2	100	0
13	1	100	300
13	2	100	0
13	4	50	0
13	4	50	0
13	2	100	0
13	4	50	250
13	2	100	0
13	3	50	0
13	2	100	1250
13	4	50	0
13	4	50	0
13	2	100	0
13	4	50	0
13	4	50	0
13	3	50	50
13	2	100	0
13	4	50	0
13	4	50	0
13	4	50	0
13	4	50	0
13	4	50	0
13	4	50	250
13	1	100	0
13	2	100	0
13	4	50	0
13	4	50	0
13	2	100	0
13	3	50	0
13	2	100	0
13	4	50	0
13	4	50	0
13	4	50	0
13	4	50	0
13	4	50	0
13	1	100	200
13	2	100	0
13	4	50	0
13	4	50	250
13	3	50	50
13	4	50	0
13	3	50	0
13	3	50	50
13	3	50	50
13	1	100	0
13	3	50	0
13	3	50	25
13	4	50	0
13	3	50	75
13	4	50	0
13	4	50	0
13	4	50	0
13	1	100	250
13	4	50	250
13	3	50	0
13	3	50	0
13	3	50	0
13	3	50	25
13	3	50	75
13	4	50	0
13	1	100	350
13	2	100	1250
13	1	100	0
13	2	100	0
13	4	50	0
13	3	50	0
13	4	50	0
13	3	50	50
13	4	50	0
13	4	50	0
13	1	100	350
13	2	100	0
13	1	100	0
13	3	50	0
13	3	50	0
13	3	50	0
13	3	50	50
14	1	100	0
14	1	100	0
14	1	100	150
14	2	100	0
14	3	50	0
14	4	50	0
14	2	100	0
14	3	50	0
14	4	50	0
14	2	100	0
14	2	100	0
14	2	100	0
14	3	50	50
14	2	100	0
14	2	100	0
14	2	100	0
14	2	100	1250
14	2	100	0
14	2	100	0
14	1	100	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	250
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	1	100	300
14	2	100	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	1	100	0
14	2	100	0
14	4	50	250
14	3	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	250
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	250
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	1	100	200
14	1	100	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	3	50	50
14	4	50	250
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	250
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
14	3	50	0
14	4	50	250
14	4	50	0
14	4	50	0
14	4	50	0
14	4	50	0
15	3	50	0
15	3	50	0
15	4	50	0
15	3	50	50
15	2	100	0
15	2	100	0
15	4	50	0
15	2	100	0
15	1	100	0
15	1	100	0
15	2	100	0
15	1	100	150
15	2	100	0
15	4	50	0
15	2	100	0
15	4	50	0
15	2	100	0
15	4	50	0
15	2	100	0
15	2	100	1250
15	1	100	0
15	2	100	0
15	2	100	0
15	2	100	0
15	2	100	0
15	2	100	1250
15	4	50	0
15	4	50	0
15	1	100	300
15	2	100	0
15	2	100	0
15	2	100	0
15	4	50	0
15	2	100	0
15	4	50	0
15	2	100	0
15	4	50	250
15	3	50	0
15	1	100	0
15	2	100	0
15	3	50	50
15	4	50	0
15	1	100	200
15	2	100	1250
15	3	50	0
15	4	50	0
15	1	100	0
15	3	50	50
15	4	50	0
